region,eval_year,n_calib,window,option_type,index_type,spearman_rho,S,z_star,premium_EUR_ha,idx_mean_calib,idx_std_calib,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,xgb_hedge_t0.0,rev_hedged_t0.0,net_benefit_t0.0,xgb_hedge_t0.5,rev_hedged_t0.5,net_benefit_t0.5,xgb_hedge_t1.0,rev_hedged_t1.0,net_benefit_t1.0,xgb_z_cont,rev_hedged_cont,net_benefit_cont,xgb_forecast,xgb_anomaly_z
52,2022,22,AprMay,call,cat,-0.4308,783.79,1.7956,21.76,783.79,60.65,860.62,76.83,76.83,True,1070.14,1169.02,98.88,True,True,1169.02,98.88,True,1169.02,98.88,False,1070.14,0.0,False,1070.14,0.0,0.6313,1104.91,34.77,805.11,0.352
53,2022,22,May,call,cat,-0.3958,408.19,2.0718,8.78,408.19,25.77,446.19,38.0,38.0,True,1188.97,1249.51,60.54,True,True,1249.51,60.54,True,1249.51,60.54,True,1249.51,60.54,False,1188.97,0.0,1.0522,1219.72,30.75,421.28,0.508
11,2023,23,MayJun,put,hdd,0.3874,155.91,0.0938,15.79,155.91,41.39,107.86,-48.06,48.06,True,1341.75,1344.77,3.03,True,True,1344.77,3.03,True,1344.77,3.03,True,1344.77,3.03,True,1344.77,3.03,0.0938,1344.77,3.02,102.99,-1.279
24,2023,23,AprMay,call,cat,-0.3142,766.62,0.0607,25.54,766.62,69.66,769.5,2.88,2.88,True,1104.99,1103.61,-1.38,False,False,1104.99,0.0,True,1103.61,-1.38,True,1103.61,-1.38,False,1104.99,0.0,0.036,1104.17,-0.82,807.94,0.593
27,2023,23,FebMarAprMayJunJul,call,hdd,-0.8095,1055.27,1.949,38.41,1055.27,105.06,1013.63,-41.64,0.0,False,1036.2,961.34,-74.86,False,False,1036.2,0.0,False,1036.2,0.0,False,1036.2,0.0,False,1036.2,0.0,0.0,1036.2,0.0,1027.56,-0.264
28,2023,23,Jan,call,cat,-0.3557,168.4,1.2853,17.11,168.4,46.54,204.23,35.83,35.83,True,1413.55,1437.61,24.06,True,True,1437.61,24.06,True,1437.61,24.06,True,1437.61,24.06,False,1413.55,0.0,0.7527,1427.64,14.09,195.66,0.586
32,2023,23,MayJun,put,cdd,0.2527,23.77,10.0,5.69,23.77,15.99,43.53,19.77,0.0,False,1420.37,1363.45,-56.92,False,False,1420.37,0.0,True,1363.45,-56.92,True,1363.45,-56.92,True,1363.45,-56.92,10.0,1363.45,-56.92,0.0,-1.487
44,2023,23,Feb,put,cat,0.2362,108.22,1.2091,27.76,108.22,67.74,137.85,29.64,0.0,False,1019.78,986.21,-33.57,False,False,1019.78,0.0,False,1019.78,0.0,False,1019.78,0.0,False,1019.78,0.0,0.0,1019.78,0.0,126.29,0.267
52,2023,23,AprMay,call,cat,-0.4249,787.13,1.7528,22.62,787.13,61.38,822.71,35.59,35.59,True,1089.09,1111.82,22.73,True,True,1111.82,22.73,True,1111.82,22.73,False,1089.09,0.0,False,1089.09,0.0,0.6975,1098.13,9.04,811.55,0.398
53,2023,23,May,call,cat,-0.3834,409.84,1.3539,9.22,409.84,26.4,435.69,25.85,25.85,True,1144.31,1166.83,22.52,True,True,1166.83,22.52,True,1166.83,22.52,True,1166.83,22.52,False,1144.31,0.0,0.7233,1156.34,12.03,423.94,0.534
11,2024,24,May,put,hdd,0.3774,117.56,0.0,13.33,117.56,34.93,95.48,-22.08,22.08,True,1049.68,1049.68,0.0,True,True,1049.68,0.0,True,1049.68,0.0,True,1049.68,0.0,False,1049.68,0.0,0.0,1049.68,0.0,89.11,-0.815
24,2024,24,AprMayJun,call,cat,-0.3191,1315.26,0.2159,32.17,1315.26,84.5,1309.02,-6.24,0.0,False,1008.78,1001.84,-6.95,False,False,1008.78,0.0,True,1001.84,-6.95,False,1008.78,0.0,False,1008.78,0.0,0.043,1007.4,-1.38,1332.08,0.199
27,2024,24,FebMarAprMayJunJul,call,hdd,-0.7333,1050.64,1.6694,36.59,1050.64,99.25,916.42,-134.22,0.0,False,845.06,783.98,-61.08,False,False,845.06,0.0,False,845.06,0.0,False,845.06,0.0,False,845.06,0.0,0.0,845.06,-0.0,998.68,-0.524
28,2024,24,Jan,call,cat,-0.3913,169.9,1.1861,17.11,169.9,46.1,160.28,-9.62,0.0,False,1189.97,1169.68,-20.29,False,False,1189.97,0.0,True,1169.68,-20.29,True,1169.68,-20.29,False,1189.97,0.0,0.7235,1177.59,-12.38,198.02,0.61
32,2024,24,FebMarAprMayJunJul,put,cat,0.2485,2158.72,1.2405,65.7,2158.72,164.27,2308.64,149.93,0.0,False,1196.31,1114.81,-81.5,False,False,1196.31,0.0,False,1196.31,0.0,False,1196.31,0.0,False,1196.31,0.0,0.0,1196.31,0.0,2198.22,0.241
44,2024,24,Apr,put,cat,0.2226,312.18,3.6789,17.08,312.18,46.64,324.92,12.74,0.0,False,843.02,780.18,-62.84,False,False,843.02,0.0,False,843.02,0.0,False,843.02,0.0,False,843.02,0.0,0.0,843.02,-0.0,330.49,0.393
52,2024,24,AprMay,call,cat,-0.4026,788.61,1.793,22.44,788.61,60.47,806.0,17.39,17.39,True,768.69,759.64,-9.05,False,False,768.69,0.0,True,759.64,-9.05,False,768.69,0.0,False,768.69,0.0,0.6813,765.25,-3.44,811.59,0.38
53,2024,24,May,call,cat,-0.3565,410.92,1.1659,9.35,410.92,26.35,428.81,17.89,17.89,True,1039.66,1049.62,9.96,True,True,1049.62,9.96,True,1049.62,9.96,True,1049.62,9.96,False,1039.66,0.0,0.5836,1044.65,4.99,424.11,0.501
