cl_ratio,REV,E_hba,E_xgb,E_perfect,p_hba,p_xgb,hedge_hba,hedge_xgb,region
0.49000000000000005,6.079128248743484,-751.5241014211861,-1871.5210997917054,-935.7605498958527,0.48,0.7872,0,1,28
0.5,6.079128248743484,-751.5241014211861,-1871.5210997917054,-935.7605498958527,0.48,0.7872,0,1,28
0.02,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.03,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.04,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.05,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.06,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.07,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.08,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.09000000000000001,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.1,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.11,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.12000000000000001,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.13,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.13999999999999999,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.15,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.16,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.16999999999999998,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.18,-0.0,-452.41812363912186,-452.41812363912186,-180.96724945564875,0.3333333333333333,0.1879,1,1,32
0.19,-3.823619028269081,-452.41812363912186,-1490.342851407326,-180.96724945564875,0.3333333333333333,0.1879,1,0,32
0.19999999999999998,-3.823619028269081,-452.41812363912186,-1490.342851407326,-180.96724945564875,0.3333333333333333,0.1879,1,0,32
0.21,-3.823619028269081,-452.41812363912186,-1490.342851407326,-180.96724945564875,0.3333333333333333,0.1879,1,0,32
0.22,-3.823619028269081,-452.41812363912186,-1490.342851407326,-180.96724945564875,0.3333333333333333,0.1879,1,0,32
0.22999999999999998,-3.823619028269081,-452.41812363912186,-1490.342851407326,-180.96724945564875,0.3333333333333333,0.1879,1,0,32
0.24,-3.823619028269081,-452.41812363912186,-1490.342851407326,-180.96724945564875,0.3333333333333333,0.1879,1,0,32
0.25,-3.823619028269081,-452.41812363912186,-1490.342851407326,-180.96724945564875,0.3333333333333333,0.1879,1,0,32
0.26,-3.823619028269081,-452.41812363912186,-1490.342851407326,-180.96724945564875,0.3333333333333333,0.1879,1,0,32
