region,year,contract,itype,model,timing,Y_actual,Y_pred,delta,delta_sq
52,2021,January,HDD,HBA,180,403.84999999999997,366.5915386904762,-0.09225816840293115,0.008511569637063603
52,2021,January,HDD,Alaton,180,403.84999999999997,358.83597314344854,-0.11146224305200304,0.0124238316261838
52,2021,January,HDD,Benth,180,403.84999999999997,357.61388863051405,-0.11448832826417213,0.013107577308724834
52,2021,January,HDD,HBA,mid,403.84999999999997,415.9130357142857,0.029870089672615376,0.0008922222570500837
52,2021,January,HDD,Alaton,mid,403.84999999999997,416.60800499752645,0.03159094960387888,0.000997988096874815
52,2021,January,HDD,Benth,mid,403.84999999999997,416.72463121984424,0.0318797355945135,0.0010163175415760911
52,2022,January,HDD,HBA,180,387.74375,369.2675386904763,-0.047650571568268234,0.002270576970782653
52,2022,January,HDD,Alaton,180,387.74375,357.59757769153157,-0.0777476679081698,0.006044699865159055
52,2022,January,HDD,Benth,180,387.74375,356.5381830902979,-0.08047987081597602,0.006477009606556189
52,2022,January,HDD,HBA,mid,387.74375,363.0657232142857,-0.06364519553368503,0.0040507109145210005
52,2022,January,HDD,Alaton,mid,387.74375,381.87511661062797,-0.015135339742734752,0.00022907850912800605
52,2022,January,HDD,Benth,mid,387.74375,377.57694824795067,-0.026220414260834147,0.0006875101240097547
52,2023,January,HDD,HBA,180,344.8062499999999,372.5730178571429,0.08052860949342698,0.006484856946944858
52,2023,January,HDD,Alaton,180,344.8062499999999,356.1192992943721,0.03280987306457528,0.0010764877705135424
52,2023,January,HDD,Benth,180,344.8062499999999,355.10312956503446,0.029862798499257326,0.0008917867342072456
52,2023,January,HDD,HBA,mid,344.8062499999999,307.2122857142857,-0.1090292426129579,0.011887375744755235
52,2023,January,HDD,Alaton,mid,344.8062499999999,288.2016492389371,-0.16416349982363387,0.02694965467434424
52,2023,January,HDD,Benth,mid,344.8062499999999,292.7607290211633,-0.15094135033467823,0.02278329124085607
52,2024,January,HDD,HBA,180,364.86250000000007,368.6804970238095,0.010464207814750557,0.00010949964519028662
52,2024,January,HDD,Alaton,180,364.86250000000007,355.0724050871454,-0.026832285896343604,0.0007199715664231199
52,2024,January,HDD,Benth,180,364.86250000000007,354.9083128483789,-0.027282023095333636,0.0007443087841743179
52,2024,January,HDD,HBA,mid,364.86250000000007,396.97163988095247,0.08800339821426535,0.007744598097258562
52,2024,January,HDD,Alaton,mid,364.86250000000007,395.16574530291797,0.08305387729053519,0.006897946532991277
52,2024,January,HDD,Benth,mid,364.86250000000007,395.0047423700677,0.08261260713300929,0.006824842857312937
52,2005,February,HDD,HBA,180,381.45595238095234,320.9448333333333,-0.15863199583051155,0.025164110101171432
52,2005,February,HDD,Alaton,180,381.45595238095234,311.9798525136023,-0.18213400376556632,0.03317279532767533
52,2005,February,HDD,Benth,180,381.45595238095234,325.3903808650855,-0.14697783889835672,0.021602485127231303
52,2005,February,HDD,HBA,mid,381.45595238095234,317.07367261904767,-0.16878037781307811,0.02848681593472539
52,2005,February,HDD,Alaton,mid,381.45595238095234,316.52458570955935,-0.1702198281770351,0.028974789904619352
52,2005,February,HDD,Benth,mid,381.45595238095234,320.7775395228108,-0.15907056235301117,0.025303443807303216
52,2006,February,HDD,HBA,180,390.27797619047624,323.3851309523809,-0.17139795048401116,0.02937725743011954
52,2006,February,HDD,Alaton,180,390.27797619047624,310.78678413539876,-0.20367839566812138,0.0414848888619398
52,2006,February,HDD,Benth,180,390.27797619047624,324.03349839873033,-0.16973665395716592,0.028810531696574687
52,2006,February,HDD,HBA,mid,390.27797619047624,373.71141071428565,-0.04244811771829326,0.0018018426978260822
52,2006,February,HDD,Alaton,mid,390.27797619047624,363.90885697412944,-0.0675649686250225,0.0045650249853002745
52,2006,February,HDD,Benth,mid,390.27797619047624,369.6857855981823,-0.052762881455149985,0.00278392165945021
52,2007,February,HDD,HBA,180,248.6357142857143,316.9065297619048,0.2745816934317753,0.07539510636786144
52,2007,February,HDD,Alaton,180,248.6357142857143,309.311699832703,0.2440356797546158,0.059553412993297396
52,2007,February,HDD,Benth,180,248.6357142857143,323.3287206303432,0.30041141337723126,0.09024701728730572
52,2007,February,HDD,HBA,mid,248.6357142857143,294.197005952381,0.18324516169189975,0.033578789283490486
52,2007,February,HDD,Alaton,mid,248.6357142857143,277.67820910604223,0.11680741402642736,0.013643971971541219
52,2007,February,HDD,Benth,mid,248.6357142857143,286.2740607810374,0.15137948545908342,0.02291574861785685
52,2008,February,HDD,HBA,180,288.5348214285714,311.94831547619043,0.08114616437522502,0.0065846999928110385
52,2008,February,HDD,Alaton,180,288.5348214285714,309.29809833650967,0.07196107840688605,0.0051783968054820015
52,2008,February,HDD,Benth,180,288.5348214285714,322.0886588032497,0.11629042625964225,0.013523463239649293
52,2008,February,HDD,HBA,mid,288.5348214285714,302.81173809523807,0.04948074064676119,0.0024483436949520447
52,2008,February,HDD,Alaton,mid,288.5348214285714,299.4797060972186,0.03793263015693474,0.0014388844306227947
52,2008,February,HDD,Benth,mid,288.5348214285714,306.12232872997026,0.06095453995577024,0.003715455941219591
52,2009,February,HDD,HBA,180,351.5395833333334,310.79505654761897,-0.1159030980220513,0.013433528131109233
52,2009,February,HDD,Alaton,180,351.5395833333334,306.5603925594388,-0.1279491497014288,0.016370984909318636
52,2009,February,HDD,Benth,180,351.5395833333334,321.28163834451504,-0.0860726541856524,0.007408501798562905
52,2009,February,HDD,HBA,mid,351.5395833333334,340.34341964285716,-0.031848941687627565,0.001014355086621901
52,2009,February,HDD,Alaton,mid,351.5395833333334,353.5895322874713,0.005831346031363191,3.400459653749524e-05
52,2009,February,HDD,Benth,mid,351.5395833333334,356.99952697919946,0.015531518795392388,0.00024122807609162702
52,2010,February,HDD,HBA,180,364.5107738095238,314.32203571428573,-0.13768794148582383,0.01895796923060365
52,2010,February,HDD,Alaton,180,364.5107738095238,305.4120066021407,-0.16213174329454894,0.026286702183729513
52,2010,February,HDD,Benth,180,364.5107738095238,320.8047652167946,-0.11990320103835378,0.014376777619243882
52,2010,February,HDD,HBA,mid,364.5107738095238,358.2618869047619,-0.01714321593146452,0.00029388985247281893
52,2010,February,HDD,Alaton,mid,364.5107738095238,391.1725056200964,0.07314387866215648,0.00535002698574427
52,2010,February,HDD,Benth,mid,364.5107738095238,389.4314991663732,0.06836759609709589,0.004674128196095641
52,2011,February,HDD,HBA,180,286.1401785714286,322.3025744047619,0.1263800002288256,0.015971904457837957
52,2011,February,HDD,Alaton,180,286.1401785714286,304.45717415701745,0.06401406358602812,0.004097800336796052
52,2011,February,HDD,Benth,180,286.1401785714286,320.28444078675346,0.11932704587587836,0.014238943877463979
52,2011,February,HDD,HBA,mid,286.1401785714286,302.36785416666663,0.0567123277697514,0.0032162881210637158
52,2011,February,HDD,Alaton,mid,286.1401785714286,292.69022110625735,0.022891026934875918,0.0005239991141332147
52,2011,February,HDD,Benth,mid,286.1401785714286,300.09653719190425,0.04877455060716603,0.0023789567869310006
52,2012,February,HDD,HBA,180,430.83898809523805,315.6320833333333,-0.26740129826977954,0.07150345431636361
52,2012,February,HDD,Alaton,180,430.83898809523805,304.2247486508973,-0.29387832332470415,0.08636446892013935
52,2012,February,HDD,Benth,180,430.83898809523805,318.2168269178001,-0.2614019721737498,0.06833099105632585
52,2012,February,HDD,HBA,mid,430.83898809523805,433.8768720238095,0.007051088718785822,4.9717852120188685e-05
52,2012,February,HDD,Alaton,mid,430.83898809523805,431.6167119133863,0.0018051379741342178,3.258523105661388e-06
52,2012,February,HDD,Benth,mid,430.83898809523805,437.2340213448469,0.014843209241302937,0.0002203208605811009
52,2013,February,HDD,HBA,180,371.42,320.48403273809527,-0.13713846120807913,0.018806957542519823
52,2013,February,HDD,Alaton,180,371.42,300.7546262454571,-0.19025731989269004,0.03619784777274939
52,2013,February,HDD,Benth,180,371.42,317.3881335620658,-0.14547376672751666,0.021162616805891935
52,2013,February,HDD,HBA,mid,371.42,322.17091964285714,-0.1325967378093341,0.01758189487767729
52,2013,February,HDD,Alaton,mid,371.42,306.053128173999,-0.175991793188307,0.030973111269635818
52,2013,February,HDD,Benth,mid,371.42,315.412550745973,-0.15079276628621774,0.022738458364249887
52,2014,February,HDD,HBA,180,273.1764285714286,320.9100327380953,0.1747354426452121,0.030532474916418206
52,2014,February,HDD,Alaton,180,273.1764285714286,299.6655327967531,0.09696702004579545,0.009402602976561697
52,2014,February,HDD,Benth,180,273.1764285714286,317.61516826129855,0.1626741367191218,0.026462874757311527
52,2014,February,HDD,HBA,mid,273.1764285714286,299.7630505952381,0.0973239973992039,0.009471960469760248
52,2014,February,HDD,Alaton,mid,273.1764285714286,276.4066843584933,0.011824796904906062,0.00013982582184227598
52,2014,February,HDD,Benth,mid,273.1764285714286,287.53916652566704,0.05257678354369064,0.0027643181678000993
52,2015,February,HDD,HBA,180,360.25922619047617,320.3463541666667,-0.1107893125898926,0.012274271784140934
52,2015,February,HDD,Alaton,180,360.25922619047617,299.6448224460284,-0.16825218991726734,0.028308799411956197
52,2015,February,HDD,Benth,180,360.25922619047617,316.39043689332493,-0.12177006474209474,0.014827948667293946
52,2015,February,HDD,HBA,mid,360.25922619047617,354.60488392857144,-0.015695204593914183,0.0002463394472448249
52,2015,February,HDD,Alaton,mid,360.25922619047617,341.1476314985791,-0.05304956348791028,0.0028142561862578236
52,2015,February,HDD,Benth,mid,360.25922619047617,350.80726094176276,-0.026236566787372063,0.0006883574367882348
