region,year,date,actual,model,forecast
53,2016,2016-02-07,8.445833333333333,FeedForwardNN,5.3708597664246716
53,2016,2016-02-08,9.69,FeedForwardNN,5.824293122983311
53,2016,2016-02-09,6.672727272727273,FeedForwardNN,5.8578361011439775
53,2016,2016-02-10,5.568181818181818,FeedForwardNN,5.785383290995716
53,2016,2016-02-11,5.616666666666667,FeedForwardNN,6.18760833566726
53,2016,2016-02-12,7.935,FeedForwardNN,6.51076840401227
53,2016,2016-02-13,8.586363636363636,FeedForwardNN,6.538676872289642
53,2016,2016-02-14,7.027272727272727,FeedForwardNN,6.504107898513916
53,2016,2016-02-15,4.833333333333333,FeedForwardNN,6.477788039180715
53,2016,2016-02-16,4.140909090909091,FeedForwardNN,6.421063771576825
53,2016,2016-02-17,4.690909090909091,FeedForwardNN,6.205806891499514
53,2016,2016-02-18,5.633333333333334,FeedForwardNN,5.940885371891116
53,2016,2016-02-19,6.204545454545454,FeedForwardNN,5.58831909149662
53,2016,2016-02-20,10.816666666666668,FeedForwardNN,5.839533308502532
53,2016,2016-02-21,11.204166666666666,FeedForwardNN,6.155015068342606
53,2016,2016-02-22,10.836363636363636,FeedForwardNN,6.135639779923787
53,2016,2016-02-23,8.14090909090909,FeedForwardNN,5.754577544054918
53,2016,2016-02-24,6.15,FeedForwardNN,5.513112571386188
53,2016,2016-02-25,5.3875,FeedForwardNN,5.483559722889228
53,2016,2016-02-26,5.3875,FeedForwardNN,5.856595034176445
53,2016,2016-02-27,4.845833333333333,FeedForwardNN,6.107504219348162
53,2016,2016-02-28,6.083333333333333,FeedForwardNN,6.086302492003363
53,2016,2016-03-01,8.208333333333334,FeedForwardNN,6.257506795587487
53,2016,2016-03-02,8.012500000000001,FeedForwardNN,6.199208611101305
53,2016,2016-03-03,8.441666666666666,FeedForwardNN,5.9567711137913175
53,2016,2016-03-04,6.420833333333333,FeedForwardNN,5.646316870866671
53,2016,2016-03-05,5.968181818181819,FeedForwardNN,5.8050904199193845
53,2016,2016-03-06,5.470833333333334,FeedForwardNN,6.051793876518174
53,2016,2016-03-07,5.504166666666666,FeedForwardNN,6.497743813576792
53,2016,2016-03-08,6.358333333333333,FeedForwardNN,6.578767958589064
53,2016,2016-03-09,7.404545454545455,FeedForwardNN,6.29166447334364
53,2016,2016-03-10,7.531818181818181,FeedForwardNN,5.607313138111354
53,2016,2016-03-11,6.458333333333333,FeedForwardNN,5.660216543570147
53,2016,2016-03-12,5.7681818181818185,FeedForwardNN,5.814744713769497
53,2016,2016-03-13,6.9,FeedForwardNN,5.738839321013715
53,2016,2016-03-14,7.316666666666666,FeedForwardNN,5.521511049986266
53,2016,2016-03-15,7.341666666666666,FeedForwardNN,5.210650478796927
53,2016,2016-03-16,7.929166666666667,FeedForwardNN,5.144956365398691
53,2016,2016-03-17,7.25,FeedForwardNN,5.506950034505064
53,2016,2016-03-18,7.272727272727272,FeedForwardNN,5.890510432685865
53,2016,2016-03-19,6.468181818181819,FeedForwardNN,6.2318918598115856
53,2016,2016-03-20,7.141666666666667,FeedForwardNN,6.00031870498184
53,2016,2016-03-21,7.279166666666666,FeedForwardNN,5.996355599209172
53,2016,2016-03-22,6.5125,FeedForwardNN,5.579942546943493
53,2016,2016-03-23,7.46875,FeedForwardNN,5.298762673121695
