region,year,mo_start,mo_end,yield_detrend,temp_index,strike,payoff,fair_premium,rev_without,rev_with_sd,rev_with_var,z_sd,z_var
52,2000,4,5,6.1602,785.94,791.3,0.0,25.9946,985.63,942.48,933.07,1.6601,2.022
52,2001,4,5,5.4379,766.71,791.3,0.0,25.9946,870.06,826.9,817.49,1.6601,2.022
52,2002,4,5,7.2144,761.24,791.3,0.0,25.9946,1154.31,1111.16,1101.75,1.6601,2.022
52,2003,4,5,5.9589,806.48,791.3,15.18,25.9946,953.42,935.46,931.55,1.6601,2.022
52,2004,4,5,6.8914,754.5,791.3,0.0,25.9946,1102.62,1059.46,1050.06,1.6601,2.022
52,2005,4,5,6.7102,758.63,791.3,0.0,25.9946,1073.63,1030.48,1021.07,1.6601,2.022
52,2006,4,5,6.3657,764.87,791.3,0.0,25.9946,1018.52,975.36,965.95,1.6601,2.022
52,2007,4,5,5.5513,891.69,791.3,100.39,25.9946,888.22,1011.71,1038.64,1.6601,2.022
52,2008,4,5,6.5656,798.61,791.3,7.31,25.9946,1050.49,1019.47,1012.7,1.6601,2.022
52,2009,4,5,7.2127,793.81,791.3,2.51,25.9946,1154.04,1115.05,1106.55,1.6601,2.022
52,2010,4,5,6.3165,765.96,791.3,0.0,25.9946,1010.65,967.49,958.09,1.6601,2.022
52,2011,4,5,5.9297,905.03,791.3,113.73,25.9946,948.74,1094.39,1126.15,1.6601,2.022
52,2012,4,5,7.4428,741.9,791.3,0.0,25.9946,1190.84,1147.69,1138.28,1.6601,2.022
52,2013,4,5,6.5559,669.11,791.3,0.0,25.9946,1048.94,1005.78,996.38,1.6601,2.022
52,2014,4,5,6.969,775.6,791.3,0.0,25.9946,1115.03,1071.88,1062.47,1.6601,2.022
52,2015,4,5,7.0821,811.3,791.3,20.0,25.9946,1133.13,1123.17,1121.0,1.6601,2.022
52,2016,4,5,6.0952,722.15,791.3,0.0,25.9946,975.23,932.07,922.67,1.6601,2.022
52,2017,4,5,7.0083,807.07,791.3,15.77,25.9946,1121.32,1104.35,1100.65,1.6601,2.022
52,2018,4,5,5.6214,867.94,791.3,76.64,25.9946,899.42,983.49,1001.82,1.6601,2.022
52,2019,4,5,7.3745,748.22,791.3,0.0,25.9946,1179.92,1136.76,1127.36,1.6601,2.022
52,2020,4,5,4.8476,894.19,791.3,102.89,25.9946,775.61,903.27,931.1,1.6601,2.022
