region,calibration_year,calibration_end,prediction_year,train_start,train_end,prediction_start,prediction_end,n_calibration_rows,n_prediction_rows,fit_MAE,fit_MAPE,fit_Bias,fit_R2,fit_RMSE,pred_year_MAE,pred_year_MAPE,pred_year_Bias,pred_year_R2,pred_year_RMSE,export_path
44,2014,2014-12-31,2015,1975-01-01,2014-12-31,2015-01-01,2015-12-31,14600,365,1.5021646069019892,0.2093866445215379,-0.026903510751012195,0.6276739932389479,1.918437260639325,1.4548917247800965,0.1510761023815244,0.07322317359679731,0.6125879922336337,1.8327715255573427,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2014_predict_2015.pkl
44,2015,2015-12-31,2016,1975-01-01,2015-12-31,2016-01-01,2016-12-31,14965,365,1.5037912364558557,0.20446293800947674,0.027940698074899403,0.6260537103298327,1.9208579921409792,1.4261154617096916,0.13356944000346935,0.19117806738902635,0.5943796666316314,1.7696613826062295,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2015_predict_2016.pkl
44,2016,2016-12-31,2017,1975-01-01,2016-12-31,2017-01-01,2017-12-31,15330,365,1.4882581586175923,0.20234275214597156,-0.0008197282208720594,0.6323596558996873,1.9011951294069205,1.4411451530745842,0.135606429444112,0.11420396831175299,0.59768746128344,1.7625365029738023,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2016_predict_2017.pkl
44,2017,2017-12-31,2018,1975-01-01,2017-12-31,2018-01-01,2018-12-31,15695,365,1.4845435103287794,0.2048771551574307,-0.044692734921395146,0.6360271092328295,1.8884759640999258,1.4017297780912592,0.13874590903221287,0.07476896047461898,0.6710805545508212,1.7669746875313883,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2017_predict_2018.pkl
44,2018,2018-12-31,2019,1975-01-01,2018-12-31,2019-01-01,2019-12-31,16060,365,1.4809660182688282,0.20149990734089443,-0.013760309501502574,0.6370930569984594,1.8864503329001476,1.350566446154406,0.13035413418638,0.1978866966591784,0.6409567896879709,1.707247075231734,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2018_predict_2019.pkl
44,2019,2019-12-31,2020,1975-01-01,2019-12-31,2020-01-01,2020-12-31,16425,365,1.4774556986493264,0.19811999398642513,0.008536338094635715,0.6377285382025104,1.882675036749738,1.4000530137793454,0.13639443530145398,0.16646149505710314,0.6116758300751857,1.8243294255182811,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2019_predict_2020.pkl
44,2020,2020-12-31,2021,1975-01-01,2020-12-31,2021-01-01,2021-12-31,16790,365,1.4844712585945614,0.1978888449870506,-0.0013970331519099408,0.6319153385247552,1.8966237141969724,1.2652443097029598,0.12235269654353421,0.20816992402763643,0.6608562241948734,1.6972203840611795,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2020_predict_2021.pkl
44,2021,2021-12-31,2022,1975-01-01,2021-12-31,2022-01-01,2022-12-31,17155,365,1.4663993511479338,0.19383342688359384,-0.0010755535505983587,0.6402478068627202,1.8740662348438148,1.2830698570196215,0.12341266828475554,0.13312787115716257,0.7104681300844492,1.620150871563808,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2021_predict_2022.pkl
44,2022,2022-12-31,2023,1975-01-01,2022-12-31,2023-01-01,2023-12-31,17520,365,1.4682409950677116,0.19546955929569212,-0.006382716193481816,0.639574474930771,1.8761605167580997,1.3320015347943603,0.12409649547287058,0.17266989631690577,0.6450980140246857,1.7430089212933462,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2022_predict_2023.pkl
44,2023,2023-12-31,2024,1975-01-01,2023-12-31,2024-01-01,2024-12-30,17885,364,1.4636495564592056,0.19175741765188184,-0.011584535448198529,0.6413674888089285,1.8705921991828713,1.4475869540421937,0.1350218955091186,0.20476500148816737,0.6163702037545895,1.8074550945429493,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_44_calib_2023_predict_2024.pkl
