model,region,oos_year,instrument,act_revenue,act_cCDD,K,N_sv,V_sv,act_payoff,hedged_revenue,revenue_change
Benth,53,2022,call,1193.44,136.19,100.1,0.06075,222.4222,721.8,1223.72,30.28
Benth,53,2023,call,1148.8,125.69,100.8,0.05413,287.0278,497.8,1160.14,11.34
Benth,53,2024,call,1043.68,122.11,101.2,0.05722,252.2039,418.2,1053.12,9.44
XGB,11,2015,call,1456.0,446.56,409.3,0.05267,1500.7558,745.2,1415.81,-40.19
XGB,11,2016,call,800.0,354.65,410.1,0.05195,1784.2214,0.0,706.85,-93.15
XGB,11,2017,call,1312.0,468.58,347.3,0.05753,772.7805,2425.6,1406.87,94.87
XGB,11,2018,call,1232.0,580.07,411.5,0.01229,1113.8319,3371.4,1259.68,27.68
XGB,11,2019,call,1408.0,459.04,415.0,0.00968,1407.0453,880.8,1402.84,-5.16
XGB,11,2020,call,1248.0,288.82,195.8,0.01238,640.5183,1860.4,1263.07,15.07
XGB,11,2021,call,1328.0,110.89,197.6,0.01446,895.4494,0.0,1315.0,-13.0
XGB,11,2022,call,1376.0,274.67,195.9,0.02488,791.8847,1575.4,1395.41,19.41
XGB,11,2023,call,1343.98,204.18,197.4,0.02123,748.7293,135.6,1330.9,-13.08
XGB,11,2024,call,1052.32,249.74,197.5,0.01762,954.2291,1044.8,1053.84,1.53
XGB,24,2015,call,1216.0,803.34,694.5,0.04244,2109.4831,2176.8,1218.34,2.34
XGB,24,2016,call,576.0,627.85,696.8,0.04047,1595.6205,0.0,511.05,-64.95
XGB,24,2017,call,1104.0,444.36,341.5,0.0156,1083.8715,2057.2,1119.1,15.1
XGB,24,2018,call,1104.0,279.59,182.4,-0.00601,378.6151,1943.8,1094.6,-9.4
XGB,24,2019,call,1224.0,151.65,184.4,-0.01057,942.0961,0.0,1234.0,10.0
XGB,24,2020,call,976.0,284.4,183.7,-0.00212,814.7781,2014.0,973.46,-2.54
XGB,24,2021,call,1168.0,115.78,185.7,0.00679,1117.1708,0.0,1160.38,-7.62
XGB,24,2022,call,1128.0,282.26,184.3,0.02205,483.1373,1959.2,1160.5,32.5
XGB,24,2023,call,1104.0,214.72,186.2,0.00203,973.7127,570.4,1103.17,-0.83
