NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N306;N306_MOD;N306_LIB;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.8;Riz;Groupe d'indicateurs;050.08;Superficie développée;23831;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.8;Riz;Groupe d'indicateurs;070.01;Rendement;55.6;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.8.11;Riz indica;Groupe d'indicateurs;020.01;Production (volume);319203;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.8.11;Riz indica;Groupe d'indicateurs;050.08;Superficie développée;6774;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.8.11;Riz indica;Groupe d'indicateurs;070.01;Rendement;47.1;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.8.19;Autres riz (Japonica);Groupe d'indicateurs;020.01;Production (volume);1006952;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.8.19;Autres riz (Japonica);Groupe d'indicateurs;050.08;Superficie développée;17057;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.8.19;Autres riz (Japonica);Groupe d'indicateurs;070.01;Rendement;59;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9;Autres céréales, n.c.a. niv. 1;Groupe d'indicateurs;020.01;Production (volume);3234214;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9;Autres céréales, n.c.a. niv. 1;Groupe d'indicateurs;050.08;Superficie développée;91010;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9;Autres céréales, n.c.a. niv. 1;Groupe d'indicateurs;070.01;Rendement;35.5;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9.11;Autres céréales non mélangées;Groupe d'indicateurs;020.01;Production (volume);1104217;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9.11;Autres céréales non mélangées;Groupe d'indicateurs;050.08;Superficie développée;35662;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9.11;Autres céréales non mélangées;Groupe d'indicateurs;070.01;Rendement;31;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9.12;Mélanges de céréales, hors méteil;Groupe d'indicateurs;020.01;Production (volume);2129997;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9.12;Mélanges de céréales, hors méteil;Groupe d'indicateurs;050.08;Superficie développée;55348;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.11.9.12;Mélanges de céréales, hors méteil;Groupe d'indicateurs;070.01;Rendement;38.5;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12;Oléagineux (y c. semences);Groupe d'indicateurs;020.01;Production (volume);74397930;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12;Oléagineux (y c. semences);Groupe d'indicateurs;050.08;Superficie développée;2260582;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12;Oléagineux (y c. semences);Groupe d'indicateurs;070.01;Rendement;32.9;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1;Colza grain et navette;Groupe d'indicateurs;020.01;Production (volume);55855035;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1;Colza grain et navette;Groupe d'indicateurs;050.08;Superficie développée;1479865;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1;Colza grain et navette;Groupe d'indicateurs;070.01;Rendement;37.7;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1.11;Colza grain d'hiver;Groupe d'indicateurs;020.01;Production (volume);55746885;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1.11;Colza grain d'hiver;Groupe d'indicateurs;050.08;Superficie développée;1476649;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1.11;Colza grain d'hiver;Groupe d'indicateurs;070.01;Rendement;37.8;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1.12;Colza grain de printemps et navette;Groupe d'indicateurs;020.01;Production (volume);108150;OUI
